probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
2979,20160518,8501,212.191.227.50,2001:b10:c000:5::5,system-v2,v4-v6-works
2980,20160518,1103,145.100.98.2,2001:610:158:980::2,system-v2,v4-v6-works
3043,20160518,680,134.91.78.146,2001:638:501:8efc:280:a3ff:fe91:9b8,system-v2,v4-v6-works
3046,20160518,1853,193.170.114.34,2001:628:2006:8:280:a3ff:fe91:3fb9,system-v2,v4-v6-works
3053,20160518,24823,217.14.49.198,2a01:5a40:0:2:280:a3ff:fe91:3e8e,system-v2,v4-v6-works
3059,20160518,33873,,,system-v2,v4-v6-works
3075,20160518,8319,,,system-v2,v4-v6-works
3091,20160518,2857,217.198.242.228,2001:4c80:0:7f0:280:a3ff:fe91:981,system-v2,v4-v6-works
3098,20160518,24823,217.14.49.194,2a01:5a40:0:1:280:a3ff:fe91:95b,system-v2,v4-v6-works
3111,20160518,1853,193.170.114.42,2001:628:2006:10::2,system-v2,v4-v6-works
3115,20160518,1241,,,system-v2,v4-v6-works
3118,20160518,1853,193.170.114.30,2001:628:2006:7::2,system-v2,v4-v6-works
3119,20160518,1853,193.170.114.50,2001:628:2006:12::2,system-v2,v4-v6-works
3126,20160518,1241,,,system-v2,v4-v6-works
3132,20160518,1853,193.170.114.18,2001:628:2006:4::2,system-v2,v4-v6-works
3134,20160518,1853,193.170.114.6,2001:628:2006:1::2,system-v2,v4-v6-works
3140,20160518,49463,31.216.30.250,2a02:27d0:17:0:280:a3ff:fe91:3feb,system-v2,v4-v6-works
3145,20160518,49463,46.21.125.250,2a02:27d0:5:0:280:a3ff:fe91:3b9a,system-v2,v4-v6-works
3161,20160518,1103,145.100.135.201,2001:610:2d0:999:220:4aff:fee0:1ea4,system-v2,v4-v6-works
3164,20160518,34878,,,system-v2,v4-v6-works
3168,20160518,16175,77.110.227.134,2a00:e08:4007:101:280:a3ff:fe91:4163,system-v2,v4-v6-works
3174,20160518,31122,92.51.196.246,2a01:258:fffe:2:280:a3ff:fe91:3bda,system-v2,v4-v6-works
3204,20160518,49463,46.21.121.250,2a02:27d0:4:0:280:a3ff:fe91:3bc9,system-v2,v4-v6-works
3211,20160518,1955,195.111.107.74,2001:738:0:111:280:a3ff:fe91:40c6,system-v2,v4-v6-works
3213,20160518,20845,92.249.150.42,2a01:368:1400:afff::2,system-v2,v4-v6-works
3231,20160518,41135,,,system-v2,v4-v6-works
3237,20160518,57866,37.139.139.71,2a00:a7c0:1000:1303::1305,system-v2,v4-v6-works
3238,20160518,9031,77.109.100.107,2a02:578:4701::11,system-v2,v4-v6-works
3245,20160518,1955,195.111.107.158,2001:738:0:110:280:a3ff:fe91:40ab,system-v2,v4-v6-works
3247,20160518,29243,,,system-v2,v4-v6-works
